,PCA_1,PCA_2
ACORN-A,19.210554240302848,23.082331441646545
ACORN-B,14.641908603087973,19.001497112776782
ACORN-C,3.6290637560689962,18.41117764517049
ACORN-D,37.47870402840234,-11.988251352701301
ACORN-E,25.18456472699936,-6.820261452431862
ACORN-F,-5.4758778366213425,16.205973634579347
ACORN-G,2.698952021365148,7.7532765537500365
ACORN-H,-3.292456074096345,7.285284247666722
ACORN-I,-17.725050200174064,16.048287930531973
ACORN-J,6.714815417240922,0.8745205781158658
ACORN-K,22.398826673753646,-31.363657149172887
ACORN-L,-11.233204886984021,-4.215652932434639
ACORN-M,-15.50737471476754,-4.600723464989839
ACORN-N,-33.120552792186594,-0.857124488396971
ACORN-O,-11.064164056005541,-12.77532535393457
ACORN-P,-11.748154591853414,-18.504290079958743
ACORN-Q,-22.79055431453238,-17.537062870216957
